"Year","Average Closing Price","Year Open","Year High","Year Low","Year Close","Annual % Change",
2021,"68.17","47.62","84.65","47.62","75.21","55.01",
2020,"39.68","61.17","63.27","11.26","48.52","-20.64",
2019,"56.99","46.31","66.24","46.31","61.14","35.42",
2018,"65.23","60.37","77.41","44.48","45.15","-25.32",
2017,"50.8","52.36","60.46","42.48","60.46","12.48",
2016,"43.29","36.81","54.01","26.19","53.75","44.76",
2015,"48.66","52.72","61.36","34.55","37.13","-30.53",
2014,"93.17","95.14","107.95","53.45","53.45","-45.55",
2013,"97.98","93.14","110.62","86.65","98.17","6.9",
2012,"94.05","102.96","109.39","77.72","91.83","-7.08",
2011,"94.88","91.59","113.39","75.4","98.83","8.15",
2010,"79.48","81.52","91.48","64.78","91.38","15.1",
2009,"61.95","46.17","81.03","34.03","79.39","78",
2008,"99.67","99.64","145.31","30.28","44.6","-53.52",
2007,"72.34","60.77","99.16","50.51","95.95","57.68",
2006,"66.05","63.11","77.05","55.9","60.85","0.34",
2005,"56.64","42.16","69.91","42.16","61.06","40.82",
2004,"41.51","33.71","56.37","32.49","43.36","33.37",
2003,"31.08","31.97","37.96","25.25","32.51","4.17",
2002,"26.19","21.13","32.68","18.02","31.21","56.36",
2001,"25.98","27.29","32.21","17.5","19.96","-25.3",
2000,"30.38","25.56","37.22","23.91","26.72","3.73",